"","sim_id","true_alpha_game1","fit_alpha_game1","true_alpha_game2","fit_alpha_game2","true_temp_game1","fit_temp_game1","true_temp_game2","fit_temp_game2","true_envy","fit_envy","true_guilt","fit_guilt","neg_log_lik"
"10",10,0.287151751001365,1,0.394215630418621,0.872477196313287,3.39636802244932,11.0440816785459,0.894680369622074,0.1,0.217003806959838,1.91335365110922,0.800166344968602,1.14749703757735,51.661401257602
"11",11,0.381819619848393,0.0075406482261121,0.252613663119264,0.0142405554328514,4.63265937636606,0.1,2.38425606226083,0.1,0.0278833666816354,0.165352754706133,1.41483710717876,1.36556570215671,54.697858628462
"12",12,0.893521282719448,1,0.80515483812429,1,0.853275174135342,0.1,3.67581776636653,4.26240809657571,1.51900586625561,5,0.991229231120087,1.00916548100387,24.8034803142678
"13",13,0.220294722388498,0.0227036519316862,0.910745000801981,0.460286518516253,4.07856481606141,0.545034018451122,4.29496804224327,2.59544783267638,1.6335144918412,1.33183488156538,0.625652535469271,0.636180945328195,52.9904573347979
"14",14,0.380821310775355,1,0.640829970128834,1,0.585455794841983,0.1,0.173810963053256,0.1,0.29713014094159,0.01,1.11796546995174,2,17.6583121148505
"15",15,0.74743057731539,0.676486649684852,0.446176293473691,0.999992038501178,2.32124272787478,2.66285920576933,0.507929210504517,0.771098680440712,0.730338057503104,0.546731918622191,1.34242935874499,1.76550426588275,23.729669226871
"16",16,0.213306458937004,0.84873721723892,0.388556148246862,0.326535277963406,2.75767561628018,4.16951872932655,3.74684010278434,1.46915091525809,0.666664863470942,5,0.487372857285663,0.73293567367934,42.1889434417348
"17",17,0.370068779564463,0.889142408238543,0.488179798233323,0.851579736212754,4.49212417285889,15,2.37273196398746,3.16654693197873,0.418655998073518,0.939658854314133,1.01438444398809,0.89869426443886,66.0960617337744
"18",18,0.833600191548467,1,0.119687795662321,0.00313133111236034,4.32096719299443,5.27891764405038,2.88247131011449,0.1,1.36655783979222,1.16263916240739,1.18440821813419,1.3797289824186,83.4504771806159
"19",19,0.171201875819825,0.00271457981378154,0.100875352001749,0.0118858401210101,3.20120947561227,0.1,3.94546288244892,0.550696671300371,0.118978596292436,5,0.126449482049793,0.0100337427465002,77.6536887536352
"20",20,0.762349737002514,0.611476311118534,0.423897771970369,0.00524805368502443,2.78007450597361,0.291789131573835,4.41454230309464,0.1,1.45525890309364,2.54855803970732,1.12926928326488,1.14969842288346,52.6364256989155
"21",21,0.66708960366901,0.456224657082154,0.747413537735119,0.585948562059649,3.89192830231041,3.81855344564718,3.06532957223244,1.41554511619508,0.781031487043947,0.248774167327654,1.00658635958098,0.894395133849265,42.5793889612754
"22",22,0.705250244070776,1,0.253195612314157,0.0450084036335059,3.27471178423148,3.57034161529529,0.920796654652804,0.1,1.5447853570804,5,0.719013608526438,0.775527674923472,32.7218008381327
"23",23,0.609408788336441,0.759410690437131,0.318701467788778,0.0185213656730572,4.32586456295103,3.76060704039239,1.75470990487374,0.1,1.34324678778648,2.11426190939394,1.34927263227291,1.7414135157583,52.323577115986
"24",24,0.501962681594305,0.112511510087298,0.488398569440469,0.820714219465727,4.37680030362681,0.879794521204359,1.04225854335818,2.87699600962983,1.51940661668777,5,0.329101617797278,0.148586124637041,24.8598327116088
"25",25,0.0812823884142563,0.00311501153561764,0.965150717217475,1,4.02636674134992,0.1,4.46591290582437,2.57215012162031,1.03743286803365,0.886839601338093,0.515110681531951,0.80258761695357,60.0760214712937
"26",26,0.525318072717637,1,0.254290260570124,1,3.74091662508436,0.1,2.69893857582938,5.67229701028473,0.272673736326396,0.173211819967995,0.360421780846082,0.891124324320722,42.2247049012
