"","sim_id","true_envy","fit_envy","true_guilt","fit_guilt","true_temp","fit_temp","true_sensitivity","fit_sensitivity","true_alpha_MF","fit_alpha_MF","true_alpha_MB","fit_alpha_MB","true_w","fit_w","true_k","fit_k","nll"
"envy32",33,1.42974171742797,0.01,0.26358640499413,0.01,2.08561553384643,0.0999999999999999,1.61075826250017,0.01,0.78903027290944,0.99,0.387821300318465,0.01,0.74646023591049,0,3,1,4.44089209850063e-16
"envy33",34,1.08565219313372,0.01,0.665342336390167,0.01,0.390495566604659,0.1,1.80905358418822,1.71826098371386,0.196281698569655,0.99,0.954533126531169,0.01,0.0925120878964663,0,3,1,3.0786484472903e-12
"envy34",35,1.17391190932365,0.01,0.0943355287588201,0.01,0.104296084609814,0.1,0.352421998626087,1.73983063262119,0.620051850546151,0.99,0.714833532827906,0.99,0.945373912807554,0,3,1,0
"envy35",36,0.421827303045429,0.01,0.637467025595251,0.01,4.53970742779784,0.1,0.996832659502979,1.77002620588593,0.183723458545282,0.260200667034009,0.749589212257415,0.99,0.0197430315893143,1,3,2,0
"envy36",37,1.79497825195547,0.01,0.848228535740636,0.01,3.48967713981401,0.1,1.31963145508664,1.96556002955496,0.33358007912524,0.99,0.158188840914518,0.99,0.335899611702189,1,2,2,0
"envy37",38,0.681671138976235,0.01,0.942580606029369,0.01,4.53951565893367,0.1,0.0632779454742558,2,0.0800023252563551,0.01,0.701149967918173,0.99,0.259435548214242,1,2,2,0
"envy38",39,1.17259299168363,0.01,0.215541219066363,0.548930188793269,2.64938047465403,1.36387954368302,1.71457052488578,0.01,0.57111700240057,0.0100000004753846,0.672759918631054,0.627498195157253,0.490157919935882,1,1,1,1.81594038547916
"envy39",40,1.66149979396723,0.01,0.166528747829143,0.01,3.82016560048796,0.1,0.87029041253496,1.34780564778333,0.268648567805067,0.99,0.422464879443869,0.599612480200164,0.817953023128211,1,3,1,0
"envy40",41,1.77656813435024,0.01,0.197876784016844,0.01,1.32442988322582,0.1,1.71785129027674,2,0.861483519021422,0.99,0.377034727595747,0.99,0.577910061227158,0,1,1,3.0786484472903e-12
"envy41",42,1.38266929481644,0.01,0.794071613303386,0.0775533136019101,2.27210078304634,0.1,0.999328050008044,1.58870873598117,0.791608668663539,0.838291725183883,0.481224091108888,0.01,0.712200172711164,0,1,1,0.00265752402970759
